index,Unnamed: 0,State,Month,Year,countyBirths,stateBirths,County
251649,251650,12,1,2006,336.0,19246,12097.0
251650,251651,12,1,2006,1357.0,19246,12099.0
251651,251652,12,1,2006,434.0,19246,12101.0
251652,251653,12,1,2006,745.0,19246,12103.0
251653,251654,12,1,2006,651.0,19246,12105.0
251654,251655,12,1,2006,143.0,19246,12109.0
251655,251656,12,1,2006,242.0,19246,12111.0
251656,251657,12,1,2006,140.0,19246,12113.0
251657,251658,12,1,2006,255.0,19246,12115.0
251658,251659,12,1,2006,430.0,19246,12117.0
251659,251660,12,1,2006,432.0,19246,12127.0
251660,251661,12,1,2006,1237.0,19246,12999.0
251661,251662,13,1,2006,219.0,11947,13021.0
251662,251663,13,1,2006,325.0,11947,13051.0
251663,251664,13,1,2006,273.0,11947,13057.0
251664,251665,13,1,2006,140.0,11947,13059.0
251665,251666,13,1,2006,437.0,11947,13063.0
251666,251667,13,1,2006,940.0,11947,13067.0
251667,251668,13,1,2006,896.0,11947,13089.0
251668,251669,13,1,2006,1132.0,11947,13121.0
251669,251670,13,1,2006,1097.0,11947,13135.0
251670,251671,13,1,2006,274.0,11947,13139.0
251671,251672,13,1,2006,277.0,11947,13151.0
251672,251673,13,1,2006,153.0,11947,13153.0
251673,251674,13,1,2006,235.0,11947,13215.0
251674,251675,13,1,2006,244.0,11947,13245.0
251675,251676,13,1,2006,5305.0,11947,13999.0
251676,251677,15,1,2006,181.0,1638,15001.0
251677,251678,15,1,2006,1220.0,1638,15003.0
251678,251679,15,1,2006,166.0,1638,15009.0
251679,251680,15,1,2006,71.0,1638,15999.0
251680,251681,16,1,2006,412.0,1846,16001.0
251681,251682,16,1,2006,278.0,1846,16027.0
251682,251683,16,1,2006,113.0,1846,16055.0
251683,251684,16,1,2006,1043.0,1846,16999.0
251684,251685,17,1,2006,183.0,14146,17019.0
251685,251686,17,1,2006,6188.0,14146,17031.0
251686,251687,17,1,2006,916.0,14146,17043.0
251687,251688,17,1,2006,679.0,14146,17089.0
251688,251689,17,1,2006,122.0,14146,17091.0
251689,251690,17,1,2006,797.0,14146,17097.0
251690,251691,17,1,2006,104.0,14146,17099.0
251691,251692,17,1,2006,345.0,14146,17111.0
251692,251693,17,1,2006,150.0,14146,17113.0
251693,251694,17,1,2006,104.0,14146,17115.0
251694,251695,17,1,2006,280.0,14146,17119.0
251695,251696,17,1,2006,226.0,14146,17143.0
251696,251697,17,1,2006,141.0,14146,17161.0
251697,251698,17,1,2006,341.0,14146,17163.0
251698,251699,17,1,2006,194.0,14146,17167.0
251699,251700,17,1,2006,118.0,14146,17179.0
251700,251701,17,1,2006,778.0,14146,17197.0
251701,251702,17,1,2006,355.0,14146,17201.0
251702,251703,17,1,2006,2125.0,14146,17999.0
251703,251704,18,1,2006,430.0,7084,18003.0
251704,251705,18,1,2006,76.0,7084,18035.0
251705,251706,18,1,2006,277.0,7084,18039.0
251706,251707,18,1,2006,309.0,7084,18057.0
251707,251708,18,1,2006,120.0,7084,18063.0
251708,251709,18,1,2006,154.0,7084,18081.0
251709,251710,18,1,2006,590.0,7084,18089.0
251710,251711,18,1,2006,99.0,7084,18091.0
251711,251712,18,1,2006,119.0,7084,18095.0
